IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId
150098492,MISSING PERSON,MISSING ADULT,Sunday,02-01-15,15:30,CENTRAL,NONE,GRANT AV / WASHINGTON ST,-122.4064788,37.79514509,"(37.7951450868486, -122.406478762416)",1.50098E+13
150098492,MISSING PERSON,FOUND PERSON,Sunday,02-01-15,15:30,CENTRAL,NONE,GRANT AV / WASHINGTON ST,-122.4064788,37.79514509,"(37.7951450868486, -122.406478762416)",1.50098E+13
150098505,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Sunday,02-01-15,17:54,TENDERLOIN,"ARREST, BOOKED",600 Block of OFARRELL ST,-122.4148505,37.78560876,"(37.7856087588303, -122.414850480524)",1.50099E+13
150098511,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Sunday,02-01-15,17:53,RICHMOND,EXCEPTIONAL CLEARANCE,2500 Block of PIERCE ST,-122.438049,37.79340596,"(37.7934059586373, -122.438049017392)",1.50099E+13
150098527,WEAPON LAWS,CARRYING A CONCEALED WEAPON,Sunday,02-01-15,17:02,MISSION,"ARREST, BOOKED",MISSION ST / 15TH ST,-122.4198279,37.76667376,"(37.7666737551835, -122.419827929961)",1.50099E+13
150098527,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Sunday,02-01-15,17:02,MISSION,"ARREST, BOOKED",MISSION ST / 15TH ST,-122.4198279,37.76667376,"(37.7666737551835, -122.419827929961)",1.50099E+13
150098527,OTHER OFFENSES,RESISTING ARREST,Sunday,02-01-15,17:02,MISSION,"ARREST, BOOKED",MISSION ST / 15TH ST,-122.4198279,37.76667376,"(37.7666737551835, -122.419827929961)",1.50099E+13
150098533,NON-CRIMINAL,FOUND PROPERTY,Sunday,02-01-15,14:33,NORTHERN,NONE,2500 Block of GREEN ST,-122.4410952,37.79547894,"(37.7954789408472, -122.441095150389)",1.50099E+13
150098549,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Sunday,02-01-15,17:35,TARAVAL,NONE,300 Block of LAKEVIEW AV,-122.4530553,37.71752992,"(37.7175299238695, -122.453055320632)",1.50099E+13
150098555,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Sunday,02-01-15,16:44,SOUTHERN,NONE,0 Block of DEBOOM ST,-122.3923041,37.78259676,"(37.7825967571249, -122.392304134983)",1.50099E+13
150098561,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Sunday,02-01-15,17:58,BAYVIEW,EXCEPTIONAL CLEARANCE,2500 Block of GRIFFITH ST,-122.3864377,37.71918345,"(37.7191834462785, -122.386437671186)",1.50099E+13
150098577,WARRANTS,WARRANT ARREST,Wednesday,02-04-15,20:27,SOUTHERN,"ARREST, BOOKED",800 Block of BRYANT ST,-122.4034048,37.77542071,"(37.775420706711, -122.403404791479)",1.50099E+13
150098583,NON-CRIMINAL,LOST PROPERTY,Saturday,01/31/2015,01:15,CENTRAL,NONE,800 Block of MONTGOMERY ST,-122.4035442,37.79699342,"(37.7969934198176, -122.40354422656)",1.50099E+13
150098599,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Sunday,02-01-15,19:15,MISSION,"ARREST, CITED",14TH ST / FOLSOM ST,-122.4156163,37.76853601,"(37.7685360123583, -122.41561633832)",1.50099E+13
150098602,OTHER OFFENSES,TAMPERING WITH A VEHICLE,Sunday,02-01-15,18:09,NORTHERN,"ARREST, BOOKED",FRANKLIN ST / SUTTER ST,-122.4234046,37.78733819,"(37.7873381901532, -122.423404604063)",1.50099E+13
150098602,OTHER OFFENSES,PROBATION VIOLATION,Sunday,02-01-15,18:09,NORTHERN,"ARREST, BOOKED",FRANKLIN ST / SUTTER ST,-122.4234046,37.78733819,"(37.7873381901532, -122.423404604063)",1.50099E+13
150098602,OTHER OFFENSES,POSSESSION OF BURGLARY TOOLS,Sunday,02-01-15,18:09,NORTHERN,"ARREST, BOOKED",FRANKLIN ST / SUTTER ST,-122.4234046,37.78733819,"(37.7873381901532, -122.423404604063)",1.50099E+13
150098618,LARCENY/THEFT,GRAND THEFT FROM PERSON,Sunday,02-01-15,18:00,CENTRAL,NONE,GEARY ST / STOCKTON ST,-122.4065923,37.7875673,"(37.7875673013055, -122.406592269796)",1.50099E+13
150098624,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Sunday,02-01-15,18:23,SOUTHERN,NONE,300 Block of 9TH ST,-122.410919,37.77313062,"(37.773130623238, -122.410919016011)",1.50099E+13
150098630,NON-CRIMINAL,"AIDED CASE, DOG BITE",Sunday,02-01-15,18:38,SOUTHERN,NONE,1000 Block of FOLSOM ST,-122.405834,37.77825481,"(37.778254811523, -122.405834032593)",1.50099E+13
150098652,ASSAULT,STALKING,Monday,01-05-15,00:01,CENTRAL,NONE,700 Block of POWELL ST,-122.409144,37.7915661,"(37.7915661006349, -122.409144009353)",1.50099E+13
150098652,OTHER OFFENSES,HARASSING PHONE CALLS,Monday,01-05-15,00:01,CENTRAL,NONE,700 Block of POWELL ST,-122.409144,37.7915661,"(37.7915661006349, -122.409144009353)",1.50099E+13
150098668,ROBBERY,"ROBBERY, BODILY FORCE",Sunday,02-01-15,17:50,TENDERLOIN,NONE,100 Block of EDDY ST,-122.4101352,37.78418891,"(37.7841889075267, -122.410135236377)",1.50099E+13
150098674,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Sunday,02-01-15,18:39,NORTHERN,"ARREST, BOOKED",CALIFORNIA ST / POLK ST,-122.4206917,37.79057707,"(37.7905770710537, -122.420691680792)",1.50099E+13
